word_id,words,pron,letter_order,letter,type,meaning_cn,meaning_zh_
1,遭う,あい,1,あ,自五,遇到,遇到
2,遇う,あい,1,あ,自五,遭遇,遭遇
3,挨拶,あいさつ,1,あ,名，サ変,问候,問候
4,間,あいだ,1,あ,名,间隔,間隔
5,会う,あう,1,あ,自五,见面,見面
6,合う,あう,1,あ,自五，辅助,适合,適合
7,喘ぐ,あえぐ,1,あ,自五,喘气,喘氣
8,青い,あおい,1,あ,形,蓝色,藍色
9,仰ぐ,あおぐ,1,あ,他五,仰望,仰望
10,煽ぐ,あおぐ,1,あ,他五,扇风、煽动,扇風、煽動
11,赤,あか,1,あ,名,红色,紅色
12,赤い,あかい,1,あ,形,红色的,紅色的
13,上がる,あがる,1,あ,自五，辅助,上升,上升
14,明るい,あかるい,1,あ,形,明亮,明亮
15,秋,あき,1,あ,名,秋天,秋天
16,明らか,あきらか,1,あ,形動,明显,明顯
17,開く,あく,1,あ,自五,打开,打開
18,明く,あく,1,あ,自五,被敝开,被敝開
19,空く,あく,1,あ,自五,空闲,空閒
20,開く,あく,1,あ,自五,打开,打開
21,明く,あく,1,あ,自五,被敝开,被敝開
22,明ける,あける,1,あ,他下一,天亮,天亮
23,空ける,あける,1,あ,他下一,腾空,騰空
24,挙げる,あげる,1,あ,他下一,举起,舉起
25,上げる,あげる,1,あ,他下一,提高,提高
26,揚げる,あげる,1,あ,他下一,油炸,油炸
27,憧れる,あこがれる,1,あ,自下一,憧憬,憧憬
28,朝,あさ,1,あ,名,早晨,早晨
29,浅い,あさい,1,あ,形,浅的,淺的
30,鮮やか,あざやか,1,あ,形動,鲜艳,鮮豔
31,足,あし,1,あ,名,脚,腳
32,味,あじ,1,あ,名,味道,味道
33,明日,あした,1,あ,名,明天,明天
34,味わう,あじわう,1,あ,他五,品尝,品嚐
35,預かる,あずかる,1,あ,他五,保管,保管
36,預ける,あずける,1,あ,他下一,寄存,寄存
37,焦る,あせる,1,あ,自五,着急,著急
38,遊ぶ,あそぶ,1,あ,自五,游玩,遊玩
39,与える,あたえる,1,あ,他下一,给予,給予
40,暖かい,あたたかい,1,あ,形,温暖（指天气、气候）,溫暖（指天氣、氣候）
41,温かい,あたたかい,1,あ,形,温热（指物体、食物、态度、心意）,溫熱（指物體、食物、態度、心意）
42,頭,あたま,1,あ,名,头部,頭部
43,新しい,あたらしい,1,あ,形,新的,新的
44,辺り,あたり,1,あ,名,附近,附近
45,当たり前,あたりまえ,1,あ,形動,理所当然,理所當然
46,当たる,あたる,1,あ,自五,命中,命中
47,あちこち,あちこち,1,あ,代,四处,四處
48,あちら,あちら,1,あ,代，名,那边,那邊
49,熱い,あつい,1,あ,形,烫的,燙的
50,暑い,あつい,1,あ,形,炎热,炎熱
